# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
formulating	1	5	0.20	1.000	moreover, a method for formulating a fragrance according to the present invention is characterized by comprising; conducting the following evaluation (x) on the overall fragrance note of a perfume composition, and formulating a fragrance with the evaluation result as an indicator: (x) an evaluation 
evaluat	1	3	0.33	1.000	moreover, according to the method for formulating a fragrance according to the present invention, a fragrance that enhances a preference for a perfume composition by continuous use can be formulated by conducting a particular evaluation on the overall fragrance note of the composition and formulatin
satisfies	1	3	0.33	1.000	moreover, a method for formulating a fragrance according to the present invention is characterized by comprising; formulating a fragrance so that the overall fragrance note of a perfume composition satisfies the following condition (a) and/or (b): (a) an impression of the “density” of a fragrance af
condi	1	1	1.00	1.000	moreover, for the method for formulating a fragrance, it is preferred that the fragrance should be formulated so that the overall fragrance note of the perfume composition further satisfies the following condition (c): (c) the impression of the “density” of the fragrance on first exposure is evaluat
exposu	1	3	0.33	1.000	2 demonstrated that for 24 of the 48 perfume ingredients known in the art, the impressions of preferences are evaluated as being increased after two exposures as compared with on first exposure
cor	1	1	1.00	1.000	correlation between change in preference by continuous use and evaluation of impression of fragrance subsequently, the present inventors studied the correlation between change in preference by continuous use and evaluation of an impression of a fragrance and therefore evaluated the perfume ingredien
exp	1	1	1.00	1.000	impression evaluation of impression evaluation of impression of fragrance fragrance fragrance on first exposure after two exposures clarity 0.735 0.682 cheerfulness 0.875 0.897 density −0.399 −0.224 intensity −0.444 −0.314 stuffy −0.578 −0.549 mellowness 0.713 0.710 sweetness 0.493 0.573 refreshing 
pref	1	1	1.00	1.000	impression evaluation of impression evaluation of impression of fragrance fragrance fragrance on first exposure after two exposures clarity 0.735 0.682 cheerfulness 0.875 0.897 density −0.399 −0.224 intensity −0.444 −0.314 stuffy −0.578 −0.549 mellowness 0.713 0.710 sweetness 0.493 0.573 refreshing 
impressions	1	1	1.00	1.000	relationship between overall fragrance note of perfume composition and evaluations of impressions of “density” and “cheerfulness” in the test above, the single perfume ingredient was used to examine the relationship between change in preference by continuous use and evaluations of impressions of “de
single-flower	1	1	1.00	1.000	so-called “soliflores”, reconstitutions and interpretations of single-flower notes, marked the beginning of the art of perfumery, and floral accords still form the central part of the perfumer&#39;s palette
green-sparkling	1	1	1.00	1.000	odour description: sweet, fruity-floral note, reminiscent of jasmine and citrus fruits with a fresh, green-sparkling background
backg	1	1	1.00	1.000	odour description: sweet, fruity-floral note, reminiscent of jasmine and citrus fruits with a fresh, green-sparkling background
velvety-fresh	1	1	1.00	1.000	this velvety-fresh grapefruit note possesses also a nice natural aspect due to the lack of sulfury/perspiration under notes, which are frequently perceived in other compounds having similar citrusy notes
asp	1	1	1.00	1.000	this compound possesses an odor of the grapefruit and lactonic type, totally devoid of woody aspects
astonishing	1	1	1.00	1.000	this grapefruit note is very persistent and displays also a coriander aspect as well as an under note reminiscent of cardamom, and an astonishing freshness even at the bottom note
shelf	1	1	1.00	1.000	the elevated level of para-cymene and the reduced level of gamma terpinene consequently caused changes in the taste and the odor of the beverage, effectively reducing the shelf life of the beverage
beve	1	1	1.00	1.000	the elevated level of para-cymene and the reduced level of gamma terpinene consequently caused changes in the taste and the odor of the beverage, effectively reducing the shelf life of the beverage
bev	1	1	1.00	1.000	the results demonstrate that while light is a crucial factor in the conversion rates of beverages containing unripe mandarin oils, which are tied to the tastes and odors of the beverages, light does not play a significant role for beverages containing ripe mandarin oils
undecatriene-like	1	1	1.00	1.000	surprisingly, a new class of compounds was found, possessing interesting notes, in the direction of green, fruity, undecatriene-like notes
approxi	1	1	1.00	1.000	such fragrance compositions have, as far as fine nuances, analogies to the scent impression of geranonitrile and can be used in a similar way and in approximately equal concentration to the geranonitrile to be substituted
herbaceous-eucalyptus	1	1	1.00	1.000	said compound possesses a woody-earthy odor, combined with an interesting herbaceous-eucalyptus bottom note
disulphide	1	1	1.00	1.000	the results are shown in table 1 below: table 1 malodor reduction % reduction of % reduction of compound hexyl amine allyl disulphide a 80.3 81.5 b 91.4 74.6 c 71.2 70.2 where compound a=1-(3,3-dimethylcyclohexyl)ethyl 2-hydroxypropanoate compound b=2-(1-(3,3-dimethylcyclohexyl)ethoxy)acetic acid co
methodology	1	1	1.00	1.000	example 5 evaluation of the malodor reduction efficiency of kitchen malodors evaluation of the malodor reduction potential of the compounds of the present invention on malodors of natural garlic oil and onion oil using the methodology described in example 4 is shown in table 2
descri	1	1	1.00	1.000	example 5 evaluation of the malodor reduction efficiency of kitchen malodors evaluation of the malodor reduction potential of the compounds of the present invention on malodors of natural garlic oil and onion oil using the methodology described in example 4 is shown in table 2
previou	1	1	1.00	1.000	in contrast, use of proteases (preferably subtilases, especially subtilisins) in washing or cleaning agents or cosmetics for the purpose of improving the fragrance impression of perfume esters according to the present invention was previously unknown
app	1	1	1.00	1.000	use of mannanases in washing or cleaning agents or cosmetics for the purpose of improving the fragrance impression of perfume esters as has been surprisingly discovered by us, appears to be previously unknown
flagrances	1	1	1.00	1.000	further, in addition to the above-mentioned flavorings and flagrances, the aroma chemicals described in “investigation on the actual using state of food flagrance compounds in japan (written in japanese)” (welfare science research report (written in japanese), 2000; published in 2001 by japan flavor
impetigo	1	1	1.00	1.000	6,123,953 further discloses that formulations which, as well as containing an alkanediol, contain a gel of the glyceryl polymethacrylate type, can be used in a low concentration for treating acne, skin problems, impetigo, microorganism-based body odours, athlete&#39;s foot and the like
microorganism-based	1	1	1.00	1.000	6,123,953 further discloses that formulations which, as well as containing an alkanediol, contain a gel of the glyceryl polymethacrylate type, can be used in a low concentration for treating acne, skin problems, impetigo, microorganism-based body odours, athlete&#39;s foot and the like
mesh	1	1	1.00	1.000	field of the invention the present invention relates to scents and, more particularly, regarding to formulated scents/scents which contain naturally occurring insect repellent, which can be applied to a screen or mesh and specially designed scent strips and reed diffusers
specially	1	1	1.00	1.000	field of the invention the present invention relates to scents and, more particularly, regarding to formulated scents/scents which contain naturally occurring insect repellent, which can be applied to a screen or mesh and specially designed scent strips and reed diffusers
